"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"SEPT7",0.00105541832675656,-0.141169047859107,0.553,0.54,1,"3","SEPT7"
"ANXA11.2",0.00106899805092103,-0.127312926095143,0.551,0.531,1,"3","ANXA11"
"FERMT3.1",0.0010758851716406,-0.152864378404236,0.343,0.354,1,"3","FERMT3"
"RETN.2",0.0010930950864348,-0.277264763094747,0.344,0.362,1,"3","RETN"
"LILRB1.1",0.00112923745066638,-0.11706145310779,0.127,0.153,1,"3","LILRB1"
"MSN.1",0.00115339774449732,-0.154968865243537,0.547,0.531,1,"3","MSN"
"CCL3.3",0.00119003963625522,-0.335806368243279,0.117,0.143,1,"3","CCL3"
"PLIN3.2",0.00119277018290669,-0.116023138798455,0.238,0.263,1,"3","PLIN3"
"PSMB1",0.00121803612159142,-0.120912453294813,0.54,0.528,1,"3","PSMB1"
"BAZ1A",0.00130166677102585,-0.172097390230799,0.39,0.397,1,"3","BAZ1A"
"MAT2A",0.00132739433822703,-0.13882630535218,0.237,0.262,1,"3","MAT2A"
"PSMB9",0.00133004608043459,-0.14400936029028,0.422,0.428,1,"3","PSMB9"
"XRCC5.1",0.00134752096191944,-0.113195358104925,0.354,0.372,1,"3","XRCC5"
"KLF10.1",0.00140724955542486,-0.107553371053106,0.119,0.146,1,"3","KLF10"
"PRRC2C",0.00143750365225401,-0.146414625694037,0.583,0.566,1,"3","PRRC2C"
"TLE4.2",0.00145037517784828,-0.175439378570499,0.289,0.309,1,"3","TLE4"
"TNFAIP8.1",0.00165641006512769,-0.123805803431839,0.14,0.165,1,"3","TNFAIP8"
"KCNK6",0.00167333934524993,-0.124499478836263,0.124,0.148,1,"3","KCNK6"
"CDC37",0.00173499750589281,-0.137455130781582,0.457,0.45,1,"3","CDC37"
"EWSR1.1",0.00187265871193627,-0.114544069519011,0.237,0.26,1,"3","EWSR1"
"LRRFIP1.1",0.00210628449094438,-0.110035319051452,0.861,0.813,1,"3","LRRFIP1"
"GABPB1",0.00212288179234531,-0.109408157483857,0.154,0.179,1,"3","GABPB1"
"WAS.2",0.00214177199097012,-0.153181600853269,0.24,0.257,1,"3","WAS"
"RBPJ",0.00222584899238974,-0.192398186943168,0.606,0.584,1,"3","RBPJ"
"CSF3R.2",0.00230701983556978,-0.119829766766484,0.101,0.124,1,"3","CSF3R"
"SPP1.3",0.00249705253378066,-0.720203278643275,0.118,0.143,1,"3","SPP1"
"TMED9.2",0.00262728730554988,-0.135660852114434,0.441,0.439,1,"3","TMED9"
"FBP1.3",0.0026346679383667,-0.232877350379347,0.841,0.741,1,"3","FBP1"
"CD86.1",0.00281935744907349,-0.150308142673327,0.267,0.287,1,"3","CD86"
