"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","category"
"Ighm.1",6.0816367084059e-117,-1.74057056579814,0.272,0.462,7.44818047678471e-113,1,"Ighm",NA
"Gimap3",2.15669080465123e-116,-0.698892590562912,0.031,0.248,2.64129922845636e-112,1,"Gimap3",NA
"Snx3",4.90720319607389e-116,0.298979398844096,0.82,0.497,6.00985175423169e-112,1,"Snx3",NA
"Rpl26.1",5.79528176210151e-116,-0.325517392202987,0.984,0.972,7.09748157404572e-112,1,"Rpl26",NA
"Selenop.1",4.07488852760214e-115,0.66447543722804,0.608,0.326,4.99051597975434e-111,1,"Selenop","Sec"
"Satb1",4.63032803463617e-114,-0.707237424890617,0.028,0.241,5.67076274401892e-110,1,"Satb1","TF"
"Eef1b2",6.02388948168575e-114,-0.524559055174772,0.853,0.821,7.37745744822054e-110,1,"Eef1b2",NA
"Ndufc2.1",9.2249446352031e-114,0.272022823803172,0.758,0.415,1.12977896947332e-109,1,"Ndufc2",NA
"Gm11808.1",7.02468613343483e-113,-0.510300304420224,0.915,0.874,8.60313310761763e-109,1,"Gm11808",NA
"Ndufb6.1",1.11763548587549e-112,0.25326269347961,0.718,0.382,1.36876817955171e-108,1,"Ndufb6",NA
"Uqcrb.1",1.27330008881772e-112,0.308591690983794,0.858,0.579,1.55941061877506e-108,1,"Uqcrb",NA
"Isg15.1",1.61350062985813e-112,0.271675341426759,0.411,0.176,1.97605422138726e-108,1,"Isg15","Sec"
"Tmsb10",1.04062471973604e-111,-0.473792773581081,0.966,0.906,1.27445309426073e-107,1,"Tmsb10",NA
