"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"CTSZ.DC",3.94395587812022e-42,-0.382046835569976,0.681,0.79,1.32887649357383e-37,"DC","CTSZ"
"RPL14.DC",5.36600788963104e-42,0.216549582949416,0.948,0.95,1.80802269833228e-37,"DC","RPL14"
"ATP1B1.DC",5.82544285051109e-42,-0.340544067674346,0.237,0.453,1.96282471405121e-37,"DC","ATP1B1"
"MGLL.DC",7.49219325212357e-42,-0.251484598115504,0.047,0.22,2.52441959437052e-37,"DC","MGLL"
"OGFRL1.DC",1.75765703577686e-41,0.430755673222159,0.343,0.202,5.92224961634656e-37,"DC","OGFRL1"
"PLEKHO1.DC",1.98217406284913e-41,0.231692110866969,0.252,0.118,6.67873728736387e-37,"DC","PLEKHO1"
"COMT.DC",2.43809590565424e-41,-0.3156547246601,0.409,0.588,8.21492034451141e-37,"DC","COMT"
"CHCHD10.DC",5.8299694600645e-41,-0.365205705991689,0.339,0.54,1.96434990987413e-36,"DC","CHCHD10"
"EPAS1.DC",1.22695312054473e-40,-0.278701994135962,0.062,0.236,4.13409584436342e-36,"DC","EPAS1"
"SUB1.DC",1.40820563559463e-40,0.364270587711938,0.712,0.638,4.74480806857256e-36,"DC","SUB1"
"HIF1A.DC",1.44239873678516e-40,0.419148263505728,0.461,0.312,4.86001830372391e-36,"DC","HIF1A"
"SERF2.DC",1.73415801384347e-40,-0.217480917243833,0.948,0.966,5.8430720118442e-36,"DC","SERF2"
"B2M.DC",2.01760260087186e-40,-0.227790733460589,0.999,0.999,6.79811020337763e-36,"DC","B2M"
"TMEM251.DC",2.05233882672078e-40,-0.239900695056469,0.128,0.333,6.91515044275301e-36,"DC","TMEM251"
"MT2A.DC",2.17493224713969e-40,-0.68658609565544,0.495,0.678,7.32821671351247e-36,"DC","MT2A"
"CBX6.DC",2.25175029885387e-40,0.279142973562659,0.201,0.088,7.58704745695825e-36,"DC","CBX6"
"SPOCD1.DC",2.40409842873721e-40,-0.255713305100641,0.009,0.151,8.10036924578714e-36,"DC","SPOCD1"
"PEBP1.DC",2.57806232261984e-40,-0.33721156402136,0.545,0.672,8.68652318983529e-36,"DC","PEBP1"
"GPX3.DC",3.04620986571769e-40,-0.335348874236362,0.151,0.347,1.02638995215492e-35,"DC","GPX3"
"CD163.DC",3.29855451624581e-40,-0.2714261119811,0.509,0.74,1.11141495870386e-35,"DC","CD163"
"GNS.DC",4.18920146267971e-40,-0.273103307720704,0.215,0.439,1.4115095408353e-35,"DC","GNS"
"SEMA3C.DC",4.29019149537416e-40,-0.255845452421379,0.031,0.188,1.44553712245137e-35,"DC","SEMA3C"
"ISG20.DC",7.8742403096128e-40,0.218862595553701,0.188,0.076,2.65314652992094e-35,"DC","ISG20"
"RPL29.DC",9.71902658833714e-40,0.210757683781052,0.941,0.936,3.27472881867431e-35,"DC","RPL29"
"C5AR1.DC",1.08244941515401e-39,-0.25241376715571,0.297,0.549,3.64720505941993e-35,"DC","C5AR1"
"ATP6V1F.DC",1.10817878563674e-39,-0.28920367742362,0.731,0.809,3.73389760032443e-35,"DC","ATP6V1F"
"MALT1.DC",1.35664081802413e-39,0.24456746828502,0.169,0.068,4.57106557225052e-35,"DC","MALT1"
"JAML.DC",2.03436173670617e-39,0.521395896268821,0.501,0.387,6.85457843565778e-35,"DC","JAML"
"APIP.DC",2.40104490475522e-39,-0.271895018596358,0.163,0.359,8.09008070208224e-35,"DC","APIP"
"YBX1.DC",4.32364423632306e-39,-0.227046768661551,0.919,0.932,1.45680868898669e-34,"DC","YBX1"
"OPTN.DC",4.36584172690504e-39,-0.225969375027798,0.04,0.201,1.47102671146338e-34,"DC","OPTN"
"ACTB.DC",6.13876683739126e-39,0.379063479042166,0.989,0.988,2.06839609819061e-34,"DC","ACTB"
