"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene","category"
"Sh2d2a.Mac",1.30362344874893e-139,-0.372367917514657,0.012,0.126,1.59654763768281e-135,"Mac","Sh2d2a",NA
"Ikzf3.Mac",3.779295767212e-139,-0.349838391767526,0.007,0.119,4.62850352610453e-135,"Mac","Ikzf3","TF"
"Grap2.Mac",1.69304673554796e-138,-0.400055362234558,0.048,0.184,2.07347433702559e-134,"Mac","Grap2",NA
"Arhgef1.Mac",3.27702432659759e-138,-0.55252072410061,0.504,0.556,4.01337169278407e-134,"Mac","Arhgef1",NA
"Rbm38.Mac",5.34765841496504e-138,-0.418648404186095,0.058,0.198,6.54927726080769e-134,"Mac","Rbm38",NA
"Gimap8.Mac",8.75527645480691e-138,-0.325700566553036,0.005,0.113,1.0722587074202e-133,"Mac","Gimap8",NA
"Lbr.Mac",8.22773968231782e-137,-0.497024077182041,0.111,0.259,1.00765127889346e-132,"Mac","Lbr",NA
"Ppp1r16b.Mac",1.21604684321975e-136,-0.336932905474031,0.009,0.119,1.48929256889123e-132,"Mac","Ppp1r16b",NA
"Eif5a.Mac",1.24276334312833e-136,0.258175845572779,0.903,0.708,1.52201226632927e-132,"Mac","Eif5a",NA
"Mirt1.Mac",4.9006888715678e-136,-0.418336005865844,0.025,0.147,6.00187366100909e-132,"Mac","Mirt1",NA
"Acap1.Mac",7.36151776792587e-136,-0.387884844826323,0.042,0.173,9.01565081037882e-132,"Mac","Acap1",NA
"Cxcl10.Mac",1.03239806301893e-135,0.393832675839478,0.161,0.044,1.26437790777928e-131,"Mac","Cxcl10",NA
"Rapgef6.Mac",1.52452394934953e-134,-0.546046890784217,0.158,0.303,1.86708448076837e-130,"Mac","Rapgef6",NA
"Il2rg.Mac",3.41500211631353e-134,-0.577580414847309,0.254,0.384,4.18235309184918e-130,"Mac","Il2rg","CM"
"Traf1.Mac",1.76504001366967e-133,-0.510553286337339,0.082,0.227,2.16164450474124e-129,"Mac","Traf1",NA
"Foxp1.Mac",3.63229399189032e-133,-0.659014123605096,0.341,0.449,4.44847045186807e-129,"Mac","Foxp1","TF"
"Cnp.Mac",8.66525198817991e-133,-0.552339159939403,0.149,0.292,1.06123341099239e-128,"Mac","Cnp",NA
"Fchsd2.Mac",1.3643054075929e-130,-0.446265999843773,0.039,0.165,1.67086483267903e-126,"Mac","Fchsd2",NA
"Arhgap15.Mac",2.86590793433716e-130,-0.523384075382297,0.195,0.336,3.50987744718271e-126,"Mac","Arhgap15",NA
"Fcer2a.Mac",4.48549038452551e-130,-0.505653054976356,0.007,0.111,5.49338007392839e-126,"Mac","Fcer2a",NA
"Rabgap1l.Mac",3.68124706329085e-129,-0.387271402523315,0.036,0.16,4.5084232784123e-125,"Mac","Rabgap1l",NA
"Fam169b.Mac",8.82870204104207e-129,-0.309059770271156,0.008,0.113,1.08125113896642e-124,"Mac","Fam169b",NA
"Slpi.Mac",9.48820202886462e-128,-0.708314414810099,0.612,0.326,1.16202010247505e-123,"Mac","Slpi",NA
"Prkcq.Mac",1.19809381256352e-127,-0.311423188173306,0.01,0.116,1.46730549224655e-123,"Mac","Prkcq",NA
"Cd2.Mac",3.77348270167002e-126,-0.565294872271123,0.251,0.398,4.62138426473527e-122,"Mac","Cd2","CM"
